real_time_s,peak_time_s,peak_time_m,peak_time_h,bl_slope,avg_baseline,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,pk_fwhm,transit_t,valve_state,pk_order,segment_num,,,
3813162555,342.2106082,5.703510137,0.095058502,-0.000215314,-1190.741844,181.9369116,195.0701312,181.6846845,2.980008435,2.935382927,2.957695681,181.8107981,141.2218827,141,249,5,122,0,,,
3813162555,342.840488,5.714008133,0.095233469,-0.000145651,-1190.676873,79.38338188,84.54202466,79.13656235,1.573093415,1.608706786,1.5909001,79.25997211,61.56533388,113,212,5,123,0,,,
3813162556,343.4461942,5.724103236,0.095401721,-4.29E-05,-1190.696196,99.99858476,107.2296488,99.87119449,1.476819327,1.429885863,1.453352595,99.93488963,77.62461532,118,220,5,124,0,,,
3813162556,343.6341021,5.727235035,0.095453917,-2.25E-05,-1190.698941,72.29980932,76.97887394,89.99478483,1.310256736,-4.099638723,-1.394690993,81.14729707,63.03131712,194,293,5,125,0,,,
3813162556,343.8294981,5.730491634,0.095508194,0.000108842,-1190.671864,97.91058802,103.7701891,97.80512823,1.912184846,2.078485546,1.995335196,97.85785812,76.01127716,118,218,5,126,0,,,
3813162556,343.9673259,5.732788765,0.095546479,4.24E-05,-1190.698309,85.59004738,91.61555651,85.41043614,1.874580007,1.738096631,1.806338319,85.50024176,66.41247517,114,213,5,127,0,,,
3813162557,344.6151772,5.743586286,0.095726438,-9.52E-06,-1190.71912,156.1903459,168.4237041,156.0299222,3.118840809,3.058997089,3.088918949,156.1101341,121.2588431,133,239,5,128,0,,,
3813162558,345.1997733,5.753329555,0.095888826,0.000146097,-1190.717956,185.1183013,198.8715731,184.9575629,3.015900621,3.005825396,3.010863008,185.0379321,143.7285652,146,256,5,129,0,,,
3813162558,345.346117,5.755768617,0.095929477,0.000344472,-1190.667682,92.78089345,99.13956569,92.72591239,1.766404084,1.972027241,1.869215663,92.75340292,72.04638188,115,214,5,131,0,,,
3813162558,345.4455111,5.757425185,0.095957086,-3.48E-05,-1190.717624,170.3225612,108.9537168,170.5264977,-27.66040542,-27.74346044,-27.70193293,170.4245294,132.3775769,120,229,5,133,0,,,
3813162558,345.4970338,5.758283897,0.095971398,-2.08E-05,-1190.72392,76.59301045,81.54137968,76.60605902,1.399547894,1.547177084,1.473362489,76.59953473,59.49883409,109,208,5,134,0,,,
3813162558,345.6155469,5.760259116,0.096004319,-0.000176671,-1190.717179,91.37791917,97.77215556,91.25259642,1.787333893,1.694886535,1.741110214,91.3152578,70.92929993,113,213,5,135,0,,,
3813162558,345.803859,5.76339765,0.096056627,-6.32E-05,-1190.720694,107.8199191,115.1453124,107.5898074,2.110728333,2.224575839,2.167652086,107.7048633,83.65995709,117,219,5,136,0,,,
3813162558,345.8743813,5.764573022,0.096076217,-0.000133397,-1190.750033,132.4149683,142.8927468,132.2342317,1.901282846,2.232173156,2.066728001,132.3246,102.7833844,129,232,5,137,0,,,
3813162559,346.2946985,5.771578308,0.096192972,-5.13E-05,-1190.774334,134.8789951,144.0201867,134.684722,2.74713582,2.810211321,2.778673571,134.7818586,104.6920646,123,225,5,138,0,,,
3813162559,346.8087418,5.780145697,0.096335762,4.65E-05,-1190.821287,75.67704506,80.32716635,75.49309839,1.91754414,1.745619234,1.831581687,75.58507173,58.71084802,110,209,5,139,0,,,
3813162559,347.0036128,5.783393546,0.096389892,-7.42E-05,-1190.81593,111.5239095,120.0336532,111.3024762,2.369835925,2.117288216,2.243562071,111.4131929,86.54040915,122,224,5,140,0,,,
3813162559,347.1382074,5.785636791,0.09642728,-0.000226321,-1190.845536,137.1135132,147.7615135,137.003167,2.78491155,2.345097427,2.565004489,137.0583401,106.460326,132,236,5,141,0,,,
3813162560,347.858551,5.797642517,0.096627375,-4.36E-05,-1190.876778,126.3021917,135.6202041,126.1596562,2.441195724,2.508826888,2.475011306,126.230924,98.05010995,124,227,5,142,0,,,
3813162560,347.963613,5.799393551,0.096656559,-0.00072854,-1190.774629,77.79942195,82.91891291,77.78115209,1.807240545,1.58874131,1.697990928,77.79028702,60.42375319,112,212,5,143,0,,,
3813162560,348.148294,5.802471566,0.096707859,-0.000210991,-1190.866252,81.95362696,87.20611133,81.65971884,2.271796763,2.235594211,2.253695487,81.8066729,63.54348855,116,215,5,144,0,,,
3813162561,348.4856102,5.808093504,0.096801558,-4.71E-05,-1190.903985,82.5880239,88.61199849,82.49394833,1.020590671,1.231393257,1.125991964,82.54098611,64.11386773,119,220,5,145,0,,,
3813162561,348.626709,5.81044515,0.096840752,-8.26E-05,-1190.919091,87.22774614,93.29092696,87.18425087,1.887425486,1.70153169,1.794478588,87.20599851,67.73742497,111,210,5,146,0,,,
3813162561,348.7389905,5.812316509,0.096871942,0.000171223,-1190.878077,122.127314,131.4794705,122.0316581,1.808761069,2.046972201,1.927866635,122.079486,94.82547265,122,223,5,147,0,,,
3813162561,348.7713516,5.81285586,0.096880931,0.000841692,-1191.043313,195.2663687,169.4276684,210.1443108,-14.48290569,-4.932556772,-9.70773123,202.7053397,157.4517576,122,227,5,148,0,,,
3813162561,349.0040293,5.816733821,0.096945564,-1.55E-05,-1190.985143,101.3938522,251.9642019,163.1963835,-29.9993696,2.434348014,-13.78251079,132.2951178,102.760484,189,292,5,149,0,,,
3813162561,349.0578206,5.817630343,0.096960506,0.000464147,-1190.906713,99.10910246,106.002441,99.12273481,1.819360177,1.863657337,1.841508757,99.11591863,76.98847805,117,218,5,150,0,,,
3813162562,349.8365226,5.83060871,0.097176812,-5.80E-05,-1191.0975,95.40589486,102.32098,95.21066875,2.415670103,2.03664565,2.226157876,95.3082818,74.03088891,116,217,5,151,0,,,
3813162564,351.186693,5.853111549,0.097551859,-0.000320731,-1191.282764,49.30844758,50.74942593,49.41484188,0.957357755,0.841219845,0.8992888,49.36164473,38.34175129,132,240,5,152,0,,,
3813162564,351.6230631,5.860384385,0.097673073,6.86E-05,-1191.347133,66.77787006,70.49299084,66.61178518,1.127133326,1.058900532,1.093016929,66.69482762,51.80533403,105,202,5,153,0,,,
3813162564,351.9864211,5.866440352,0.097774006,-8.12E-06,-1191.414291,77.64378559,82.89134923,77.66227291,1.257262419,1.671716076,1.464489247,77.65302925,60.31713795,110,209,5,154,0,,,
3813162565,352.2356541,5.870594235,0.097843237,-0.000246236,-1191.441449,153.8805467,165.2157785,153.7312229,2.345358187,2.48546692,2.415412553,153.8058848,119.4690131,131,237,5,155,0,,,
3813162565,352.7223222,5.87870537,0.097978423,-0.000450922,-1191.459343,137.4191717,148.451464,137.0433541,2.188353815,2.215808264,2.202081039,137.2312629,106.5946441,127,231,5,156,0,,,
3813162566,353.2474639,5.887457732,0.098124296,-0.00013952,-1191.567249,99.28307822,105.9058722,99.21018289,1.763019693,1.664866319,1.713943006,99.24663056,77.09000878,117,216,5,157,0,,,
3813162566,353.2999868,5.888333114,0.098138885,-8.09E-05,-1191.594795,89.06114341,94.13549696,88.71187751,1.57929434,2.010914712,1.795104526,88.88651046,69.04276582,112,211,5,158,0,,,
3813162567,354.480139,5.908002317,0.098466705,-0.000131638,-1191.785448,82.78307251,87.52983258,82.59008261,1.847513317,1.879603383,1.86355835,82.68657756,64.22695616,110,209,5,160,0,,,
3813162567,354.8127246,5.91354541,0.09855909,-0.000169042,-1191.872217,111.9188628,119.8385017,111.7331367,2.167173602,1.99154227,2.079357936,111.8259997,86.86105766,121,222,5,161,0,,,
3813162567,354.8871446,5.914785743,0.098579762,-0.002597965,-1191.578464,106.8630814,114.1773034,107.4905717,3.78880498,3.669530912,3.729167946,107.1768265,83.24980356,119,220,5,163,0,,,
